Valor,Marca,Modelo,Bairro,Município,UF,Data da venda,Loja,Endereço da loja,Categoria,Cidade da loja,UF da loja,Dia da semana,Dia do mês
76470.35,PEUGEOT,2008 ALLURE PACK 1.6 AT,FREGUESIA (JACAREPAGUÁ),RIO DE JANEIRO - RJ,RJ,2024-12-01,IT,Rio de Janeiro - RJ,Carro,Rio de Janeiro,RJ,Domingo,1
66899.5,RENAULT,LOGAN ZEN 1.0,OLARIA,RIO DE JANEIRO - RJ,RJ,2024-12-02,DC,Duque de Caxias - RJ,Carro,Duque de Caxias,RJ,Segunda,2
66800.0,FIAT,ARGO 1.0,REALENGO,RIO DE JANEIRO - RJ,RJ,2024-12-02,CG,Rio de Janeiro - RJ,Carro,Rio de Janeiro,RJ,Segunda,2
53233.21,FIAT,MOBI LIKE 1.0,OURO PRETO,NOVA IGUAÇU - RJ,RJ,2024-12-02,NI,Nova Iguaçu - RJ,Carro,Nova Iguaçu,RJ,Segunda,2
65000.0,FIAT,ARGO 1.0,CONDOMÍNIO MARACANÃ,SANTO ANDRÉ - SP,SP,2024-12-02,VP,São Paulo - SP,Carro,São Paulo,SP,Segunda,2
46300.0,FIAT,MOBI LIKE 1.0 FIRE,SERRA GRANDE,NITERÓI - RJ,RJ,2024-12-02,NT,Niterói - RJ,Carro,Niterói,RJ,Segunda,2
62078.49,FIAT,STRADA WORKING 1.4  FIRE,CAMPO GRANDE,RIO DE JANEIRO - RJ,RJ,2024-12-02,CG,Rio de Janeiro - RJ,Carro,Rio de Janeiro,RJ,Segunda,2
59479.32,FIAT,MOBI LIKE,JARDIM NOVA ERA,NOVA IGUAÇU - RJ,RJ,2024-12-03,NI,Nova Iguaçu - RJ,Carro,Nova Iguaçu,RJ,Terça,3
65051.17,VOLKSWAGEN,VOYAGE 1.6L MB5,JARDIM SANTA RITA,NOVA IGUAÇU - RJ,RJ,2024-12-03,NI,Nova Iguaçu - RJ,Carro,Nova Iguaçu,RJ,Terça,3
60677.13,FORD,KA SE 1.0 HA C,COELHO NETO,RIO DE JANEIRO - RJ,RJ,2024-12-03,IT,Rio de Janeiro - RJ,Carro,Rio de Janeiro,RJ,Terça,3
21555.88,VOLKSWAGEN,GOL 1.0 GIV,CIDADE TUPINAMBÁ,GUARULHOS - SP,SP,2024-12-03,OS,Osasco - SP,Carro,Osasco,SP,Terça,3
63810.4,RENAULT,LOGAN LIFE 1.0,FREGUESIA,RIO DE JANEIRO - RJ,RJ,2024-12-03,IT,Rio de Janeiro - RJ,Carro,Rio de Janeiro,RJ,Terça,3
53952.82,FIAT,MOBI LIKE 1.0,PARQUE BEIRA MAR,DUQUE DE CAXIAS - RJ,RJ,2024-12-03,DC,Duque de Caxias - RJ,Carro,Duque de Caxias,RJ,Terça,3
56223.09,VOLKSWAGEN,GOL 1.0,SÃO JOSÉ DA CACHOEIRA (RIO DO OURO),MAGÉ - RJ,RJ,2024-12-03,DC,Duque de Caxias - RJ,Carro,Duque de Caxias,RJ,Terça,3
20500.0,VOLKSWAGEN,GOL 1.0,CIDADE NOVA HELIÓPOLIS,SÃO PAULO - SP,SP,2024-12-03,OS,Osasco - SP,Carro,Osasco,SP,Terça,3
56465.23,FORD,KA SE 1.0,SÃO ROQUE,QUEIMADOS - RJ,RJ,2024-12-03,NI,Nova Iguaçu - RJ,Carro,Nova Iguaçu,RJ,Terça,3
79476.08,FIAT,CRONOS 1.3,SÃO FRANCISCO,SÃO FRANCISCO DE ITABAPOANA - RJ,RJ,2024-12-03,NT,Niterói - RJ,Carro,Niterói,RJ,Terça,3
33503.47,FORD,FIESTA SEDAN 1.6 FLEX,CIDADE NOVA HELIÓPOLIS,SÃO PAULO - SP,SP,2024-12-03,VP,São Paulo - SP,Carro,São Paulo,SP,Terça,3
62002.3,RENAULT,LOGAN ZEN 1.0,PADRE MIGUEL,RIO DE JANEIRO - RJ,RJ,2024-12-04,IT,Rio de Janeiro - RJ,Carro,Rio de Janeiro,RJ,Quarta,4
25890.84,FORD,KA FLEX,CENTRO,NILÓPOLIS - RJ,RJ,2024-12-04,NI,Nova Iguaçu - RJ,Carro,Nova Iguaçu,RJ,Quarta,4
58784.72,PEUGEOT,PARTNER MARIMAR 1.6,JARDIM ATLÂNTICO LESTE (ITAIPUAÇU),MARICÁ - RJ,RJ,2024-12-04,NT,Niterói - RJ,Carro,Niterói,RJ,Quarta,4
52180.41,FIAT,MOBI LIKE 1.0,CAMPO GRANDE,RIO DE JANEIRO - RJ,RJ,2024-12-04,CG,Rio de Janeiro - RJ,Carro,Rio de Janeiro,RJ,Quarta,4
65092.88,RENAULT,LOGAN ZEN10MT,CORDOVIL,RIO DE JANEIRO - RJ,RJ,2024-12-04,DC,Duque de Caxias - RJ,Carro,Duque de Caxias,RJ,Quarta,4
